cliente_id,nombre,edad,genero,ubicacion
0000000068,Cliente_68,25,Otro,Guadalajara
0000000069,Cliente_69,53,Otro,Guadalajara
0000000070,Cliente_70,18,Femenino,Guadalajara
0000000071,Cliente_71,55,Otro,Tijuana
0000000072,Cliente_72,57,Femenino,Puebla
0000000073,Cliente_73,26,Masculino,Monterrey
0000000074,Cliente_74,62,Femenino,Cdmx
0000000075,Cliente_75,52,Masculino,Guadalajara
0000000076,Cliente_76,68,Masculino,Puebla
0000000077,Cliente_77,56,Masculino,Guadalajara
0000000078,Cliente_78,27,Otro,Cdmx
0000000079,Cliente_79,66,Femenino,Monterrey
0000000080,Cliente_80,67,Otro,Monterrey
0000000081,Cliente_81,69,Otro,Guadalajara
0000000082,Cliente_82,26,Masculino,Cdmx
0000000083,Cliente_83,32,Otro,Tijuana
0000000084,Cliente_84,56,Masculino,Monterrey
0000000085,Cliente_85,42,Femenino,Monterrey
0000000086,Cliente_86,39,Femenino,Guadalajara
0000000087,Cliente_87,27,Masculino,Tijuana
0000000088,Cliente_88,68,Masculino,Guadalajara
0000000089,Cliente_89,57,Otro,Guadalajara
0000000090,Cliente_90,63,Femenino,Cdmx
0000000091,Cliente_91,56,Masculino,Puebla
0000000092,Cliente_92,60,Femenino,Puebla
0000000093,Cliente_93,66,Masculino,Monterrey
0000000094,Cliente_94,44,Otro,Puebla
0000000095,Cliente_95,22,Femenino,Tijuana
0000000096,Cliente_96,66,Femenino,Guadalajara
0000000097,Cliente_97,33,Masculino,Monterrey
0000000098,Cliente_98,68,Masculino,Guadalajara
0000000099,Cliente_99,28,Masculino,Puebla
0000000100,Cliente_100,60,Femenino,Guadalajara
0000000101,Cliente_101,63,Femenino,Monterrey
0000000102,Cliente_102,38,Masculino,Guadalajara
0000000103,Cliente_103,65,Femenino,Cdmx
0000000104,Cliente_104,45,Femenino,Cdmx
0000000105,Cliente_105,48,Otro,Monterrey
0000000106,Cliente_106,46,Masculino,Puebla
0000000107,Cliente_107,67,Masculino,Monterrey
0000000108,Cliente_108,63,Femenino,Puebla
0000000109,Cliente_109,47,Otro,Monterrey
0000000110,Cliente_110,68,Otro,Guadalajara
0000000111,Cliente_111,64,Femenino,Monterrey
0000000112,Cliente_112,46,Femenino,Monterrey
0000000113,Cliente_113,62,Otro,Guadalajara
0000000114,Cliente_114,44,Femenino,Puebla
0000000115,Cliente_115,39,Otro,Cdmx
0000000116,Cliente_116,59,Otro,Puebla
0000000117,Cliente_117,39,Femenino,Cdmx
0000000118,Cliente_118,62,Masculino,Tijuana
0000000119,Cliente_119,25,Femenino,Monterrey
0000000120,Cliente_120,25,Masculino,Guadalajara
0000000121,Cliente_121,36,Femenino,Cdmx
0000000122,Cliente_122,32,Femenino,Puebla
0000000123,Cliente_123,54,Femenino,Guadalajara
0000000124,Cliente_124,21,Otro,Monterrey
0000000125,Cliente_125,45,Femenino,Cdmx
0000000126,Cliente_126,56,Masculino,Tijuana
0000000127,Cliente_127,52,Otro,Monterrey
0000000128,Cliente_128,55,Otro,Guadalajara
0000000129,Cliente_129,30,Femenino,Tijuana
0000000130,Cliente_130,44,Femenino,Cdmx
0000000131,Cliente_131,31,Femenino,Monterrey
0000000132,Cliente_132,57,Otro,Monterrey
0000000133,Cliente_133,66,Otro,Puebla
0000000134,Cliente_134,50,Femenino,Monterrey
0000000135,Cliente_135,32,Femenino,Monterrey
0000000136,Cliente_136,23,Femenino,Puebla
0000000137,Cliente_137,53,Masculino,Puebla
0000000138,Cliente_138,28,Femenino,Monterrey
0000000139,Cliente_139,20,Femenino,Puebla
0000000140,Cliente_140,47,Otro,Monterrey
0000000141,Cliente_141,63,Femenino,Puebla
0000000142,Cliente_142,25,Masculino,Puebla
0000000143,Cliente_143,41,Otro,Puebla
0000000144,Cliente_144,25,Femenino,Monterrey
0000000145,Cliente_145,31,Otro,Puebla
0000000146,Cliente_146,68,Masculino,Tijuana
0000000147,Cliente_147,44,Masculino,Cdmx
0000000148,Cliente_148,38,Otro,Guadalajara
0000000149,Cliente_149,50,Femenino,Tijuana
0000000150,Cliente_150,27,Otro,Puebla
0000000151,Cliente_151,33,Femenino,Tijuana
0000000152,Cliente_152,39,Femenino,Tijuana
0000000153,Cliente_153,49,Otro,Puebla
0000000154,Cliente_154,24,Masculino,Puebla
0000000155,Cliente_155,50,Masculino,Puebla
0000000156,Cliente_156,23,Masculino,Tijuana
0000000157,Cliente_157,34,Femenino,Monterrey
0000000158,Cliente_158,69,Otro,Guadalajara
0000000159,Cliente_159,55,Femenino,Puebla
0000000160,Cliente_160,59,Otro,Cdmx
0000000161,Cliente_161,43,Masculino,Cdmx
0000000162,Cliente_162,36,Otro,Guadalajara
0000000163,Cliente_163,27,Femenino,Puebla
0000000164,Cliente_164,64,Masculino,Puebla
0000000165,Cliente_165,18,Femenino,Monterrey
0000000166,Cliente_166,53,Otro,Monterrey
0000000167,Cliente_167,66,Masculino,Tijuana
0000000168,Cliente_168,31,Femenino,Monterrey
0000000169,Cliente_169,56,Otro,Tijuana
0000000170,Cliente_170,55,Femenino,Monterrey
0000000171,Cliente_171,33,Otro,Monterrey
0000000172,Cliente_172,28,Femenino,Puebla
0000000173,Cliente_173,23,Otro,Puebla
0000000174,Cliente_174,36,Femenino,Tijuana
0000000175,Cliente_175,31,Masculino,Cdmx
0000000176,Cliente_176,32,Otro,Guadalajara
0000000177,Cliente_177,56,Otro,Tijuana
0000000178,Cliente_178,47,Femenino,Guadalajara
0000000179,Cliente_179,29,Masculino,Guadalajara
0000000180,Cliente_180,47,Otro,Tijuana
0000000181,Cliente_181,40,Otro,Tijuana
0000000182,Cliente_182,59,Masculino,Monterrey
0000000183,Cliente_183,23,Femenino,Monterrey
0000000184,Cliente_184,60,Otro,Tijuana
0000000185,Cliente_185,27,Otro,Puebla
0000000186,Cliente_186,31,Otro,Puebla
0000000187,Cliente_187,59,Femenino,Guadalajara
0000000188,Cliente_188,52,Masculino,Guadalajara
0000000189,Cliente_189,25,Otro,Tijuana
0000000190,Cliente_190,22,Femenino,Monterrey
0000000191,Cliente_191,50,Otro,Tijuana
0000000192,Cliente_192,52,Masculino,Cdmx
0000000193,Cliente_193,45,Otro,Puebla
0000000194,Cliente_194,50,Femenino,Tijuana
0000000195,Cliente_195,21,Masculino,Guadalajara
0000000196,Cliente_196,22,Femenino,Cdmx
0000000197,Cliente_197,40,Masculino,Monterrey
0000000198,Cliente_198,32,Masculino,Puebla
0000000199,Cliente_199,34,Masculino,Cdmx
0000000200,Cliente_200,25,Femenino,Puebla
0000000201,Cliente_201,50,Masculino,Puebla
0000000202,Cliente_202,39,Masculino,Tijuana
0000000203,Cliente_203,31,Femenino,Puebla
0000000204,Cliente_204,29,Femenino,Puebla
0000000205,Cliente_205,36,Femenino,Cdmx
0000000206,Cliente_206,53,Femenino,Guadalajara
0000000207,Cliente_207,24,Masculino,Puebla
0000000208,Cliente_208,34,Masculino,Puebla
0000000209,Cliente_209,25,Masculino,Puebla
0000000210,Cliente_210,20,Masculino,Cdmx
0000000211,Cliente_211,27,Masculino,Guadalajara
0000000212,Cliente_212,35,Masculino,Monterrey
0000000213,Cliente_213,43,Masculino,Guadalajara
0000000214,Cliente_214,43,Femenino,Guadalajara
0000000215,Cliente_215,64,Otro,Monterrey
0000000216,Cliente_216,50,Otro,Cdmx
0000000217,Cliente_217,22,Femenino,Tijuana
0000000218,Cliente_218,28,Femenino,Monterrey
0000000219,Cliente_219,64,Otro,Tijuana
0000000220,Cliente_220,31,Masculino,Monterrey
0000000221,Cliente_221,64,Otro,Tijuana
0000000222,Cliente_222,18,Masculino,Tijuana
0000000223,Cliente_223,42,Otro,Monterrey
0000000224,Cliente_224,39,Otro,Tijuana
0000000225,Cliente_225,68,Masculino,Tijuana
0000000226,Cliente_226,29,Femenino,Monterrey
0000000227,Cliente_227,37,Femenino,Tijuana
0000000228,Cliente_228,38,Otro,Monterrey
0000000229,Cliente_229,69,Femenino,Puebla
0000000230,Cliente_230,36,Otro,Tijuana
0000000231,Cliente_231,41,Otro,Tijuana
0000000232,Cliente_232,55,Otro,Guadalajara
0000000233,Cliente_233,46,Femenino,Cdmx
0000000234,Cliente_234,26,Otro,Puebla
0000000236,Cliente_236,53,Masculino,Monterrey
0000000237,Cliente_237,23,Masculino,Tijuana
0000000238,Cliente_238,63,Otro,Guadalajara
0000000239,Cliente_239,19,Otro,Puebla
0000000240,Cliente_240,20,Masculino,Guadalajara
0000000241,Cliente_241,42,Otro,Puebla
0000000242,Cliente_242,55,Otro,Puebla
0000000243,Cliente_243,46,Masculino,Cdmx
0000000244,Cliente_244,31,Femenino,Tijuana
0000000245,Cliente_245,53,Femenino,Tijuana
0000000246,Cliente_246,59,Femenino,Monterrey
0000000247,Cliente_247,57,Femenino,Guadalajara
0000000248,Cliente_248,47,Masculino,Cdmx
0000000249,Cliente_249,64,Masculino,Cdmx
0000000250,Cliente_250,41,Femenino,Cdmx
0000000251,Cliente_251,61,Femenino,Puebla
0000000252,Cliente_252,42,Otro,Guadalajara
0000000253,Cliente_253,34,Otro,Cdmx
0000000254,Cliente_254,53,Otro,Puebla
0000000255,Cliente_255,55,Masculino,Cdmx
0000000256,Cliente_256,30,Femenino,Monterrey
0000000257,Cliente_257,35,Otro,Puebla
0000000258,Cliente_258,49,Otro,Puebla
0000000259,Cliente_259,21,Masculino,Tijuana
0000000260,Cliente_260,45,Femenino,Monterrey
0000000261,Cliente_261,37,Otro,Monterrey
0000000262,Cliente_262,44,Femenino,Guadalajara
0000000263,Cliente_263,60,Otro,Puebla
0000000264,Cliente_264,39,Otro,Puebla
0000000265,Cliente_265,27,Masculino,Tijuana
0000000266,Cliente_266,28,Femenino,Cdmx
0000000267,Cliente_267,19,Masculino,Monterrey
0000000268,Cliente_268,26,Femenino,Puebla
0000000269,Cliente_269,19,Masculino,Monterrey
0000000270,Cliente_270,51,Masculino,Cdmx
0000000271,Cliente_271,44,Femenino,Monterrey
0000000272,Cliente_272,61,Otro,Tijuana
0000000273,Cliente_273,69,Masculino,Cdmx
0000000274,Cliente_274,55,Femenino,Cdmx
0000000275,Cliente_275,41,Otro,Guadalajara
0000000276,Cliente_276,58,Masculino,Monterrey
0000000277,Cliente_277,29,Femenino,Tijuana
0000000278,Cliente_278,41,Femenino,Guadalajara
0000000279,Cliente_279,58,Masculino,Cdmx
0000000280,Cliente_280,36,Femenino,Tijuana
0000000281,Cliente_281,57,Femenino,Puebla
0000000282,Cliente_282,63,Otro,Puebla
0000000283,Cliente_283,56,Masculino,Monterrey
0000000284,Cliente_284,39,Masculino,Guadalajara
0000000285,Cliente_285,20,Otro,Guadalajara
0000000286,Cliente_286,35,Masculino,Tijuana
0000000287,Cliente_287,24,Femenino,Cdmx
0000000288,Cliente_288,54,Femenino,Cdmx
0000000289,Cliente_289,25,Otro,Monterrey
0000000290,Cliente_290,29,Masculino,Monterrey
0000000291,Cliente_291,68,Femenino,Monterrey
0000000292,Cliente_292,24,Femenino,Monterrey
0000000039,Cliente_293,39,Masculino,Monterrey
0000000294,Cliente_294,32,Otro,Guadalajara
0000000295,Cliente_295,38,Otro,Tijuana
0000000296,Cliente_296,37,Otro,Cdmx
0000000297,Cliente_297,31,Femenino,Guadalajara
0000000298,Cliente_298,57,Otro,Monterrey
0000000299,Cliente_299,20,Otro,Guadalajara
0000000300,Cliente_300,58,Masculino,Puebla
0000000301,Cliente_301,39,Femenino,Monterrey
0000000302,Cliente_302,44,Femenino,Guadalajara
0000000303,Cliente_303,47,Femenino,Tijuana
0000000304,Cliente_304,31,Masculino,Tijuana
0000000305,Cliente_305,28,Otro,Tijuana
0000000306,Cliente_306,69,Otro,Monterrey
0000000307,Cliente_307,25,Masculino,Guadalajara
0000000308,Cliente_308,23,Otro,Guadalajara
0000000309,Cliente_309,67,Masculino,Tijuana
0000000310,Cliente_310,21,Otro,Cdmx
0000000311,Cliente_311,53,Femenino,Monterrey
0000000312,Cliente_312,27,Femenino,Tijuana
0000000313,Cliente_313,29,Otro,Guadalajara
0000000314,Cliente_314,57,Otro,Monterrey
0000000315,Cliente_315,31,Masculino,Monterrey
0000000316,Cliente_316,64,Masculino,Tijuana
0000000317,Cliente_317,46,Masculino,Puebla
0000000318,Cliente_318,19,Masculino,Puebla
0000000319,Cliente_319,25,Masculino,Tijuana
0000000320,Cliente_320,31,Femenino,Guadalajara
0000000321,Cliente_321,27,Femenino,Monterrey
0000000322,Cliente_322,20,Femenino,Puebla
0000000323,Cliente_323,46,Otro,Puebla
0000000324,Cliente_324,21,Femenino,Tijuana
0000000325,Cliente_325,37,Femenino,Guadalajara
0000000326,Cliente_326,67,Femenino,Puebla
0000000327,Cliente_327,35,Masculino,Puebla
0000000328,Cliente_328,30,Masculino,Monterrey
0000000329,Cliente_329,19,Masculino,Guadalajara
0000000330,Cliente_330,45,Otro,Tijuana
0000000331,Cliente_331,34,Masculino,Monterrey
0000000332,Cliente_332,59,Masculino,Tijuana
0000000334,Cliente_334,63,Femenino,Puebla
0000000335,Cliente_335,50,Masculino,Monterrey
0000000337,Cliente_337,27,Femenino,Guadalajara
0000000338,Cliente_338,61,Femenino,Cdmx
0000000339,Cliente_339,50,Masculino,Cdmx
0000000340,Cliente_340,42,Femenino,Monterrey
0000000341,Cliente_341,55,Femenino,Guadalajara
0000000342,Cliente_342,63,Otro,Guadalajara
0000000343,Cliente_343,47,Masculino,Monterrey
0000000344,Cliente_344,19,Femenino,Cdmx
0000000345,Cliente_345,50,Masculino,Monterrey
0000000346,Cliente_346,69,Femenino,Guadalajara
0000000347,Cliente_347,24,Otro,Guadalajara
0000000348,Cliente_348,65,Femenino,Monterrey
0000000349,Cliente_349,34,Femenino,Tijuana
0000000350,Cliente_350,51,Masculino,Puebla
0000000351,Cliente_351,58,Masculino,Puebla
0000000352,Cliente_352,35,Otro,Monterrey
0000000353,Cliente_353,53,Femenino,Tijuana
0000000354,Cliente_354,69,Masculino,Puebla
0000000355,Cliente_355,46,Masculino,Monterrey
0000000356,Cliente_356,23,Masculino,Puebla
0000000357,Cliente_357,66,Femenino,Puebla
0000000358,Cliente_358,50,Otro,Guadalajara
0000000359,Cliente_359,32,Otro,Puebla
0000000360,Cliente_360,59,Femenino,Monterrey
0000000361,Cliente_361,23,Otro,Cdmx
0000000362,Cliente_362,49,Otro,Tijuana
0000000363,Cliente_363,55,Otro,Cdmx
0000000364,Cliente_364,66,Femenino,Guadalajara
0000000045,Cliente_365,34,Femenino,Monterrey
0000000366,Cliente_366,63,Masculino,Cdmx
0000000367,Cliente_367,37,Masculino,Guadalajara
0000000368,Cliente_368,51,Masculino,Puebla
0000000369,Cliente_369,36,Masculino,Cdmx
0000000370,Cliente_370,68,Otro,Guadalajara
0000000371,Cliente_371,23,Masculino,Cdmx
0000000372,Cliente_372,67,Otro,Monterrey
0000000373,Cliente_373,55,Femenino,Monterrey
0000000374,Cliente_374,50,Otro,Puebla
0000000375,Cliente_375,27,Femenino,Monterrey
0000000376,Cliente_376,25,Otro,Guadalajara
0000000377,Cliente_377,49,Masculino,Puebla
0000000378,Cliente_378,51,Otro,Guadalajara
0000000379,Cliente_379,67,Masculino,Puebla
0000000380,Cliente_380,66,Femenino,Monterrey
0000000381,Cliente_381,28,Masculino,Monterrey
0000000383,Cliente_383,58,Femenino,Cdmx
0000000384,Cliente_384,43,Masculino,Puebla
0000000385,Cliente_385,69,Masculino,Puebla
0000000386,Cliente_386,67,Otro,Guadalajara
0000000387,Cliente_387,59,Femenino,Puebla
0000000388,Cliente_388,66,Femenino,Cdmx
0000000389,Cliente_389,44,Masculino,Cdmx
0000000390,Cliente_390,20,Otro,Monterrey
0000000391,Cliente_391,41,Masculino,Puebla
0000000392,Cliente_392,56,Masculino,Cdmx
0000000393,Cliente_393,48,Femenino,Guadalajara
0000000394,Cliente_394,63,Otro,Monterrey
0000000395,Cliente_395,57,Femenino,Monterrey
0000000396,Cliente_396,50,Femenino,Puebla
0000000397,Cliente_397,38,Femenino,Guadalajara
0000000398,Cliente_398,65,Otro,Guadalajara
0000000399,Cliente_399,39,Masculino,Guadalajara
0000000400,Cliente_400,65,Femenino,Puebla
0000000401,Cliente_401,33,Femenino,Puebla
0000000402,Cliente_402,25,Otro,Monterrey
0000000403,Cliente_403,57,Femenino,Monterrey
0000000404,Cliente_404,30,Otro,Tijuana
0000000405,Cliente_405,64,Otro,Tijuana
0000000407,Cliente_407,49,Masculino,Cdmx
0000000408,Cliente_408,34,Femenino,Monterrey
0000000409,Cliente_409,41,Masculino,Guadalajara
0000000410,Cliente_410,67,Femenino,Guadalajara
0000000411,Cliente_411,39,Otro,Cdmx
0000000412,Cliente_412,44,Femenino,Tijuana
0000000413,Cliente_413,24,Femenino,Puebla
0000000414,Cliente_414,20,Otro,Tijuana
0000000415,Cliente_415,60,Femenino,Guadalajara
0000000416,Cliente_416,20,Otro,Monterrey
0000000417,Cliente_417,62,Otro,Puebla
0000000418,Cliente_418,53,Otro,Guadalajara
0000000419,Cliente_419,24,Femenino,Monterrey
0000000420,Cliente_420,52,Masculino,Tijuana
0000000421,Cliente_421,37,Otro,Puebla
0000000422,Cliente_422,44,Femenino,Cdmx
0000000423,Cliente_423,47,Femenino,Guadalajara
0000000424,Cliente_424,34,Otro,Tijuana
0000000425,Cliente_425,44,Otro,Tijuana
0000000426,Cliente_426,65,Otro,Guadalajara
0000000427,Cliente_427,29,Masculino,Tijuana
0000000428,Cliente_428,21,Otro,Guadalajara
0000000429,Cliente_429,66,Otro,Tijuana
0000000430,Cliente_430,23,Otro,Monterrey
0000000431,Cliente_431,25,Otro,Guadalajara
0000000432,Cliente_432,50,Femenino,Guadalajara
0000000433,Cliente_433,35,Masculino,Tijuana
0000000434,Cliente_434,36,Masculino,Guadalajara
0000000435,Cliente_435,30,Otro,Puebla
0000000436,Cliente_436,56,Femenino,Tijuana
0000000437,Cliente_437,34,Masculino,Guadalajara
0000000438,Cliente_438,33,Femenino,Tijuana
0000000439,Cliente_439,47,Masculino,Puebla
0000000440,Cliente_440,39,Femenino,Tijuana
0000000441,Cliente_441,58,Otro,Cdmx
0000000442,Cliente_442,40,Otro,Cdmx
0000000443,Cliente_443,46,Masculino,Monterrey
0000000444,Cliente_444,44,Otro,Cdmx
0000000445,Cliente_445,48,Otro,Cdmx
0000000446,Cliente_446,35,Femenino,Guadalajara
0000000447,Cliente_447,54,Masculino,Puebla
0000000448,Cliente_448,38,Otro,Guadalajara
0000000449,Cliente_449,21,Masculino,Guadalajara
0000000450,Cliente_450,44,Masculino,Puebla
0000000451,Cliente_451,30,Otro,Guadalajara
0000000452,Cliente_452,20,Masculino,Puebla
0000000453,Cliente_453,22,Masculino,Cdmx
0000000454,Cliente_454,61,Otro,Cdmx
0000000455,Cliente_455,44,Femenino,Tijuana
0000000456,Cliente_456,64,Femenino,Guadalajara
0000000457,Cliente_457,64,Otro,Cdmx
0000000458,Cliente_458,32,Masculino,Puebla
0000000460,Cliente_460,69,Masculino,Tijuana
0000000461,Cliente_461,67,Otro,Puebla
0000000462,Cliente_462,61,Masculino,Puebla
0000000463,Cliente_463,38,Otro,Guadalajara
0000000464,Cliente_464,60,Otro,Puebla
0000000465,Cliente_465,35,Femenino,Tijuana
0000000466,Cliente_466,34,Femenino,Tijuana
0000000467,Cliente_467,55,Masculino,Cdmx
0000000468,Cliente_468,29,Otro,Monterrey
0000000469,Cliente_469,41,Femenino,Guadalajara
0000000470,Cliente_470,39,Femenino,Cdmx
0000000471,Cliente_471,46,Otro,Tijuana
0000000472,Cliente_472,59,Femenino,Monterrey
0000000473,Cliente_473,38,Femenino,Cdmx
0000000474,Cliente_474,25,Masculino,Cdmx
0000000475,Cliente_475,61,Masculino,Cdmx
0000000476,Cliente_476,54,Otro,Tijuana
0000000477,Cliente_477,51,Otro,Monterrey
0000000478,Cliente_478,33,Femenino,Guadalajara
0000000479,Cliente_479,49,Masculino,Cdmx
0000000480,Cliente_480,59,Femenino,Monterrey
0000000481,Cliente_481,54,Femenino,Cdmx
0000000482,Cliente_482,46,Masculino,Guadalajara
0000000483,Cliente_483,55,Femenino,Cdmx
0000000484,Cliente_484,48,Otro,Cdmx
0000000485,Cliente_485,54,Femenino,Cdmx
0000000486,Cliente_486,53,Femenino,Tijuana
0000000487,Cliente_487,25,Otro,Puebla
0000000488,Cliente_488,53,Otro,Cdmx
0000000489,Cliente_489,23,Otro,Puebla
0000000490,Cliente_490,44,Otro,Tijuana
0000000491,Cliente_491,67,Masculino,Guadalajara
0000000492,Cliente_492,33,Otro,Cdmx
0000000493,Cliente_493,35,Masculino,Tijuana
0000000494,Cliente_494,43,Otro,Guadalajara
0000000495,Cliente_495,69,Femenino,Puebla
0000000496,Cliente_496,56,Masculino,Monterrey
0000000497,Cliente_497,57,Masculino,Monterrey
0000000498,Cliente_498,39,Masculino,Monterrey
0000000499,Cliente_499,60,Otro,Monterrey
0000000500,Cliente_500,21,Masculino,Monterrey
0000000501,Cliente_501,56,Femenino,Monterrey
0000000235,Cliente_502,36,Masculino,Monterrey
0000000503,Cliente_503,45,Otro,Guadalajara
0000000504,Cliente_504,40,Otro,Tijuana
0000000505,Cliente_505,65,Otro,Tijuana
0000000506,Cliente_506,20,Femenino,Monterrey
0000000507,Cliente_507,62,Otro,Guadalajara
0000000508,Cliente_508,56,Femenino,Cdmx
0000000293,Cliente_509,36,Femenino,Puebla
0000000510,Cliente_510,42,Masculino,Monterrey
0000000511,Cliente_511,44,Femenino,Tijuana
0000000512,Cliente_512,51,Masculino,Monterrey
0000000513,Cliente_513,69,Masculino,Guadalajara
0000000514,Cliente_514,47,Masculino,Puebla
0000000515,Cliente_515,25,Femenino,Tijuana
0000000516,Cliente_516,21,Otro,Monterrey
0000000517,Cliente_517,34,Femenino,Monterrey
0000000518,Cliente_518,38,Femenino,Cdmx
0000000519,Cliente_519,24,Otro,Cdmx
0000000520,Cliente_520,58,Femenino,Monterrey
0000000521,Cliente_521,45,Femenino,Tijuana
0000000522,Cliente_522,22,Masculino,Puebla
0000000523,Cliente_523,44,Otro,Monterrey
0000000524,Cliente_524,56,Femenino,Monterrey
0000000525,Cliente_525,27,Masculino,Monterrey
0000000526,Cliente_526,19,Otro,Cdmx
0000000527,Cliente_527,27,Otro,Tijuana
0000000528,Cliente_528,29,Femenino,Monterrey
0000000529,Cliente_529,41,Otro,Puebla
0000000530,Cliente_530,57,Masculino,Cdmx
0000000531,Cliente_531,47,Otro,Monterrey
0000000532,Cliente_532,62,Masculino,Guadalajara
0000000533,Cliente_533,50,Femenino,Puebla
0000000534,Cliente_534,58,Otro,Guadalajara
0000000535,Cliente_535,52,Otro,Cdmx
0000000536,Cliente_536,63,Masculino,Monterrey
0000000537,Cliente_537,41,Femenino,Puebla
0000000538,Cliente_538,65,Femenino,Tijuana
0000000539,Cliente_539,56,Masculino,Tijuana
0000000540,Cliente_540,24,Otro,Guadalajara
0000000333,Cliente_541,56,Otro,Tijuana
0000000542,Cliente_542,29,Masculino,Cdmx
0000000543,Cliente_543,58,Otro,Puebla
0000000544,Cliente_544,69,Otro,Cdmx
0000000545,Cliente_545,35,Otro,Tijuana
0000000546,Cliente_546,49,Otro,Tijuana
0000000547,Cliente_547,60,Femenino,Puebla
0000000548,Cliente_548,40,Femenino,Tijuana
0000000549,Cliente_549,35,Femenino,Guadalajara
0000000550,Cliente_550,49,Otro,Guadalajara
0000000551,Cliente_551,50,Femenino,Cdmx
0000000552,Cliente_552,24,Otro,Puebla
0000000553,Cliente_553,56,Masculino,Monterrey
0000000554,Cliente_554,52,Femenino,Monterrey
0000000555,Cliente_555,49,Femenino,Guadalajara
0000000556,Cliente_556,46,Otro,Monterrey
0000000557,Cliente_557,48,Masculino,Cdmx
0000000559,Cliente_559,31,Otro,Tijuana
0000000560,Cliente_560,61,Femenino,Guadalajara
0000000561,Cliente_561,56,Otro,Monterrey
0000000562,Cliente_562,67,Masculino,Tijuana
0000000563,Cliente_563,22,Masculino,Puebla
0000000564,Cliente_564,26,Femenino,Guadalajara
0000000565,Cliente_565,31,Masculino,Cdmx
0000000566,Cliente_566,64,Masculino,Cdmx
0000000567,Cliente_567,65,Masculino,Puebla
0000000568,Cliente_568,36,Otro,Guadalajara
0000000569,Cliente_569,69,Femenino,Guadalajara
0000000570,Cliente_570,57,Masculino,Cdmx
0000000571,Cliente_571,40,Femenino,Tijuana
0000000572,Cliente_572,54,Femenino,Cdmx
0000000573,Cliente_573,43,Masculino,Cdmx
0000000574,Cliente_574,62,Masculino,Tijuana
