proveedor_id,nombre_proveedor,contacto,ubicacion
0000000084,Proveedor_84,contacto84@empresa.com,Guadalajara
0000000085,Proveedor_85,contacto85@empresa.com,Monterrey
0000000086,Proveedor_86,contacto86@empresa.com,Guadalajara
0000000087,Proveedor_87,contacto87@empresa.com,Tijuana
0000000088,Proveedor_88,contacto88@empresa.com,Tijuana
0000000089,Proveedor_89,contacto89@empresa.com,Monterrey
0000000090,Proveedor_90,contacto90@empresa.com,Cdmx
0000000091,Proveedor_91,contacto91@empresa.com,Monterrey
0000000092,Proveedor_92,contacto92@empresa.com,Cdmx
0000000093,Proveedor_93,contacto93@empresa.com,Puebla
0000000094,Proveedor_94,contacto94@empresa.com,Guadalajara
0000000095,Proveedor_95,contacto95@empresa.com,Guadalajara
0000000096,Proveedor_96,contacto96@empresa.com,Monterrey
0000000097,Proveedor_97,contacto97@empresa.com,Guadalajara
0000000098,Proveedor_98,contacto98@empresa.com,Puebla
0000000099,Proveedor_99,contacto99@empresa.com,Puebla
0000000100,Proveedor_100,contacto100@empresa.com,Monterrey
0000000101,Proveedor_101,contacto101@empresa.com,Guadalajara
0000000102,Proveedor_102,contacto102@empresa.com,Guadalajara
0000000103,Proveedor_103,contacto103@empresa.com,Guadalajara
0000000104,Proveedor_104,contacto104@empresa.com,Guadalajara
0000000105,Proveedor_105,contacto105@empresa.com,Puebla
0000000106,Proveedor_106,contacto106@empresa.com,Puebla
0000000107,Proveedor_107,contacto107@empresa.com,Tijuana
0000000006,Proveedor_108,contacto108@empresa.com,Cdmx
0000000109,Proveedor_109,contacto109@empresa.com,Cdmx
0000000110,Proveedor_110,contacto110@empresa.com,Puebla
0000000111,Proveedor_111,contacto111@empresa.com,Tijuana
0000000112,Proveedor_112,contacto112@empresa.com,Monterrey
0000000113,Proveedor_113,contacto113@empresa.com,Guadalajara
0000000114,Proveedor_114,contacto114@empresa.com,Guadalajara
0000000115,Proveedor_115,contacto115@empresa.com,Cdmx
0000000116,Proveedor_116,contacto116@empresa.com,Monterrey
0000000117,Proveedor_117,contacto117@empresa.com,Puebla
0000000118,Proveedor_118,contacto118@empresa.com,Guadalajara
0000000119,Proveedor_119,contacto119@empresa.com,Puebla
0000000120,Proveedor_120,contacto120@empresa.com,Tijuana
0000000121,Proveedor_121,contacto121@empresa.com,Puebla
0000000122,Proveedor_122,contacto122@empresa.com,Cdmx
0000000123,Proveedor_123,contacto123@empresa.com,Tijuana
0000000124,Proveedor_124,contacto124@empresa.com,Monterrey
0000000125,Proveedor_125,contacto125@empresa.com,Tijuana
0000000126,Proveedor_126,contacto126@empresa.com,Cdmx
0000000127,Proveedor_127,contacto127@empresa.com,Guadalajara
0000000128,Proveedor_128,contacto128@empresa.com,Guadalajara
0000000129,Proveedor_129,contacto129@empresa.com,Tijuana
0000000130,Proveedor_130,contacto130@empresa.com,Monterrey
0000000131,Proveedor_131,contacto131@empresa.com,Guadalajara
0000000132,Proveedor_132,contacto132@empresa.com,Puebla
0000000134,Proveedor_134,contacto134@empresa.com,Monterrey
0000000135,Proveedor_135,contacto135@empresa.com,Guadalajara
0000000136,Proveedor_136,contacto136@empresa.com,Cdmx
0000000137,Proveedor_137,contacto137@empresa.com,Monterrey
0000000138,Proveedor_138,contacto138@empresa.com,Guadalajara
0000000139,Proveedor_139,contacto139@empresa.com,Guadalajara
0000000140,Proveedor_140,contacto140@empresa.com,Puebla
0000000141,Proveedor_141,contacto141@empresa.com,Puebla
0000000142,Proveedor_142,contacto142@empresa.com,Monterrey
0000000143,Proveedor_143,contacto143@empresa.com,Monterrey
0000000144,Proveedor_144,contacto144@empresa.com,Tijuana
0000000145,Proveedor_145,contacto145@empresa.com,Tijuana
0000000146,Proveedor_146,contacto146@empresa.com,Monterrey
0000000147,Proveedor_147,contacto147@empresa.com,Cdmx
0000000148,Proveedor_148,contacto148@empresa.com,Guadalajara
0000000149,Proveedor_149,contacto149@empresa.com,Tijuana
0000000150,Proveedor_150,contacto150@empresa.com,Monterrey
0000000151,Proveedor_151,contacto151@empresa.com,Tijuana
0000000152,Proveedor_152,contacto152@empresa.com,Cdmx
0000000153,Proveedor_153,contacto153@empresa.com,Tijuana
0000000154,Proveedor_154,contacto154@empresa.com,Tijuana
0000000155,Proveedor_155,contacto155@empresa.com,Monterrey
0000000156,Proveedor_156,contacto156@empresa.com,Guadalajara
0000000157,Proveedor_157,contacto157@empresa.com,Guadalajara
0000000158,Proveedor_158,contacto158@empresa.com,Cdmx
0000000159,Proveedor_159,contacto159@empresa.com,Cdmx
0000000160,Proveedor_160,contacto160@empresa.com,Monterrey
0000000161,Proveedor_161,contacto161@empresa.com,Monterrey
0000000162,Proveedor_162,contacto162@empresa.com,Puebla
0000000163,Proveedor_163,contacto163@empresa.com,Monterrey
0000000164,Proveedor_164,contacto164@empresa.com,Monterrey
0000000165,Proveedor_165,contacto165@empresa.com,Monterrey
0000000166,Proveedor_166,contacto166@empresa.com,Tijuana
0000000167,Proveedor_167,contacto167@empresa.com,Puebla
0000000168,Proveedor_168,contacto168@empresa.com,Puebla
0000000169,Proveedor_169,contacto169@empresa.com,Tijuana
0000000170,Proveedor_170,contacto170@empresa.com,Cdmx
0000000171,Proveedor_171,contacto171@empresa.com,Monterrey
0000000172,Proveedor_172,contacto172@empresa.com,Puebla
0000000173,Proveedor_173,contacto173@empresa.com,Monterrey
0000000174,Proveedor_174,contacto174@empresa.com,Monterrey
0000000175,Proveedor_175,contacto175@empresa.com,Cdmx
0000000176,Proveedor_176,contacto176@empresa.com,Guadalajara
0000000177,Proveedor_177,contacto177@empresa.com,Puebla
0000000178,Proveedor_178,contacto178@empresa.com,Tijuana
0000000179,Proveedor_179,contacto179@empresa.com,Tijuana
0000000180,Proveedor_180,contacto180@empresa.com,Tijuana
0000000181,Proveedor_181,contacto181@empresa.com,Cdmx
0000000182,Proveedor_182,contacto182@empresa.com,Monterrey
0000000183,Proveedor_183,contacto183@empresa.com,Tijuana
0000000184,Proveedor_184,contacto184@empresa.com,Tijuana
0000000185,Proveedor_185,contacto185@empresa.com,Puebla
0000000186,Proveedor_186,contacto186@empresa.com,Puebla
0000000187,Proveedor_187,contacto187@empresa.com,Tijuana
0000000188,Proveedor_188,contacto188@empresa.com,Guadalajara
0000000189,Proveedor_189,contacto189@empresa.com,Puebla
0000000190,Proveedor_190,contacto190@empresa.com,Guadalajara
0000000191,Proveedor_191,contacto191@empresa.com,Tijuana
0000000192,Proveedor_192,contacto192@empresa.com,Guadalajara
0000000193,Proveedor_193,contacto193@empresa.com,Tijuana
0000000194,Proveedor_194,contacto194@empresa.com,Monterrey
0000000195,Proveedor_195,contacto195@empresa.com,Guadalajara
0000000196,Proveedor_196,contacto196@empresa.com,Puebla
0000000197,Proveedor_197,contacto197@empresa.com,Monterrey
0000000198,Proveedor_198,contacto198@empresa.com,Cdmx
0000000199,Proveedor_199,contacto199@empresa.com,Puebla
